step,env_id,time_s,rpm_motor0
0,0,0.0,15015.5537109375
0,1,0.0,14876.17578125
0,2,0.0,15342.1318359375
0,3,0.0,15018.5771484375
1,0,0.01,14984.4462890625
1,1,0.01,15123.8232421875
1,2,0.01,14657.869140625
1,3,0.01,14981.4228515625
2,0,0.02,15015.5537109375
2,1,0.02,14876.17578125
2,2,0.02,15342.1318359375
2,3,0.02,15018.5771484375
3,0,0.03,14984.4462890625
3,1,0.03,15123.8232421875
3,2,0.03,14657.8681640625
3,3,0.03,14981.421875
4,0,0.04,15015.5537109375
4,1,0.04,14876.17578125
4,2,0.04,15342.1318359375
4,3,0.04,15018.5771484375
5,0,0.05,14984.4462890625
5,1,0.05,15123.8232421875
5,2,0.05,14657.869140625
5,3,0.05,14981.4228515625
6,0,0.06,15015.5537109375
6,1,0.06,14876.17578125
6,2,0.06,15342.1298828125
6,3,0.06,15018.5771484375
7,0,0.07,14984.4462890625
7,1,0.07,15123.8232421875
7,2,0.07,14657.869140625
7,3,0.07,14981.4228515625
8,0,0.08,15015.5537109375
8,1,0.08,14876.17578125
8,2,0.08,15342.1298828125
8,3,0.08,15018.5771484375
9,0,0.09,14984.4462890625
9,1,0.09,15123.8232421875
9,2,0.09,14657.8681640625
9,3,0.09,14981.421875
10,0,0.1,15015.5537109375
10,1,0.1,14876.17578125
10,2,0.1,15342.1318359375
10,3,0.1,15018.5771484375
11,0,0.11,14984.4462890625
11,1,0.11,15123.8232421875
11,2,0.11,14657.869140625
11,3,0.11,14981.4228515625
12,0,0.12,15015.5537109375
12,1,0.12,14876.17578125
12,2,0.12,15342.1318359375
12,3,0.12,15018.5771484375
13,0,0.13,14984.4462890625
13,1,0.13,15123.8232421875
13,2,0.13,14657.869140625
13,3,0.13,14981.4228515625
14,0,0.14,15015.5546875
14,1,0.14,14876.17578125
14,2,0.14,15342.1298828125
14,3,0.14,15018.5771484375
15,0,0.15,14984.4462890625
15,1,0.15,15123.8232421875
15,2,0.15,14657.8701171875
15,3,0.15,14981.4228515625
16,0,0.16,15015.5546875
16,1,0.16,14876.17578125
16,2,0.16,15342.1298828125
16,3,0.16,15018.5771484375
17,0,0.17,14984.4462890625
17,1,0.17,15123.8232421875
17,2,0.17,14657.8671875
17,3,0.17,14981.4228515625
18,0,0.18,15015.5517578125
18,1,0.18,14876.17578125
18,2,0.18,15342.1357421875
18,3,0.18,15018.5771484375
19,0,0.19,14984.4482421875
19,1,0.19,15123.8232421875
19,2,0.19,14657.8623046875
19,3,0.19,14981.4208984375
20,0,0.2,15015.5498046875
20,1,0.2,14876.17578125
20,2,0.2,15342.138671875
20,3,0.2,15018.5791015625
21,0,0.21,14984.451171875
21,1,0.21,15123.8232421875
21,2,0.21,14657.8583984375
21,3,0.21,14981.419921875
22,0,0.22,15015.5478515625
22,1,0.22,14876.17578125
22,2,0.22,15342.14453125
22,3,0.22,15018.580078125
23,0,0.23,14984.453125
23,1,0.23,15123.8251953125
23,2,0.23,14657.853515625
23,3,0.23,14981.41796875
24,0,0.24,15015.5458984375
24,1,0.24,14876.17578125
24,2,0.24,15342.1474609375
24,3,0.24,15018.58203125
25,0,0.25,14984.4560546875
25,1,0.25,15123.8251953125
25,2,0.25,14657.849609375
25,3,0.25,14981.416015625
26,0,0.26,15015.5439453125
26,1,0.26,14876.17578125
26,2,0.26,15342.1533203125
26,3,0.26,15018.583984375
27,0,0.27,14984.45703125
27,1,0.27,15123.8251953125
27,2,0.27,14657.8447265625
27,3,0.27,14981.4140625
28,0,0.28,15015.541015625
28,1,0.28,14876.17578125
28,2,0.28,15342.1572265625
28,3,0.28,15018.5859375
29,0,0.29,14984.458984375
29,1,0.29,15123.8251953125
29,2,0.29,14657.8408203125
29,3,0.29,14981.412109375
30,0,0.3,15015.5390625
30,1,0.3,14876.17578125
30,2,0.3,15342.162109375
30,3,0.3,15018.587890625
31,0,0.31,14984.4619140625
31,1,0.31,15123.8251953125
31,2,0.31,14657.8349609375
31,3,0.31,14981.41015625
32,0,0.32,15015.537109375
32,1,0.32,14876.1748046875
32,2,0.32,15342.16796875
32,3,0.32,15018.58984375
33,0,0.33,14984.4619140625
33,1,0.33,15123.8251953125
33,2,0.33,14657.8310546875
33,3,0.33,14981.4091796875
34,0,0.34,15015.5390625
34,1,0.34,14876.17578125
34,2,0.34,15342.166015625
34,3,0.34,15018.58984375
35,0,0.35,14984.458984375
35,1,0.35,15123.8251953125
35,2,0.35,14657.8359375
35,3,0.35,14981.4111328125
36,0,0.36,15015.54296875
36,1,0.36,14876.17578125
36,2,0.36,15342.16015625
36,3,0.36,15018.587890625
37,0,0.37,14984.45703125
37,1,0.37,15123.8251953125
37,2,0.37,14657.841796875
37,3,0.37,14981.4130859375
38,0,0.38,15015.5439453125
38,1,0.38,14876.17578125
38,2,0.38,15342.1552734375
38,3,0.38,15018.5859375
39,0,0.39,14984.4541015625
39,1,0.39,15123.8251953125
39,2,0.39,14657.8466796875
39,3,0.39,14981.4150390625
40,0,0.4,15015.5478515625
40,1,0.4,14876.17578125
40,2,0.4,15342.1494140625
40,3,0.4,15018.583984375
41,0,0.41,14984.451171875
41,1,0.41,15123.8232421875
41,2,0.41,14657.8525390625
41,3,0.41,14981.41796875
42,0,0.42,15015.5498046875
42,1,0.42,14876.17578125
42,2,0.42,15342.14453125
42,3,0.42,15018.58203125
43,0,0.43,14984.4482421875
43,1,0.43,15123.8232421875
43,2,0.43,14657.857421875
43,3,0.43,14981.419921875
44,0,0.44,15015.5537109375
44,1,0.44,14876.17578125
44,2,0.44,15342.138671875
44,3,0.44,15018.5791015625
45,0,0.45,14984.4462890625
45,1,0.45,15123.8232421875
45,2,0.45,14657.8623046875
45,3,0.45,14981.4208984375
46,0,0.46,15015.5546875
46,1,0.46,14876.17578125
46,2,0.46,15342.1337890625
46,3,0.46,15018.5771484375
47,0,0.47,14984.4443359375
47,1,0.47,15123.8232421875
47,2,0.47,14657.8681640625
47,3,0.47,14981.4228515625
48,0,0.48,15015.556640625
48,1,0.48,14876.1767578125
48,2,0.48,15342.1279296875
48,3,0.48,15018.5751953125
49,0,0.49,14984.44140625
49,1,0.49,15123.8232421875
49,2,0.49,14657.8740234375
49,3,0.49,14981.42578125
50,0,0.5,15015.560546875
50,1,0.5,14876.1767578125
50,2,0.5,15342.123046875
50,3,0.5,15018.5732421875
51,0,0.51,14984.4384765625
51,1,0.51,15123.8232421875
51,2,0.51,14657.8798828125
51,3,0.51,14981.427734375
52,0,0.52,15015.5625
52,1,0.52,14876.1767578125
52,2,0.52,15342.1171875
52,3,0.52,15018.5712890625
53,0,0.53,14984.435546875
53,1,0.53,15123.8232421875
53,2,0.53,14657.884765625
53,3,0.53,14981.4296875
54,0,0.54,15015.5654296875
54,1,0.54,14876.1767578125
54,2,0.54,15342.1123046875
54,3,0.54,15018.5703125
55,0,0.55,14984.43359375
55,1,0.55,15123.8232421875
55,2,0.55,14657.890625
55,3,0.55,14981.431640625
56,0,0.56,15015.5673828125
56,1,0.56,14876.1767578125
56,2,0.56,15342.1064453125
56,3,0.56,15018.568359375
57,0,0.57,14984.4306640625
57,1,0.57,15123.8232421875
57,2,0.57,14657.8955078125
57,3,0.57,14981.43359375
58,0,0.58,15015.5693359375
58,1,0.58,14876.1767578125
58,2,0.58,15342.1015625
58,3,0.58,15018.564453125
59,0,0.59,14984.4287109375
59,1,0.59,15123.8232421875
59,2,0.59,14657.9013671875
59,3,0.59,14981.435546875
60,0,0.6,15015.5732421875
60,1,0.6,14876.1767578125
60,2,0.6,15342.095703125
60,3,0.6,15018.5625
61,0,0.61,14984.42578125
61,1,0.61,15123.8232421875
61,2,0.61,14657.90625
61,3,0.61,14981.4384765625
62,0,0.62,15015.57421875
62,1,0.62,14876.177734375
62,2,0.62,15342.0908203125
62,3,0.62,15018.560546875
63,0,0.63,14984.423828125
63,1,0.63,15123.8232421875
63,2,0.63,14657.912109375
63,3,0.63,14981.4404296875
64,0,0.64,15015.578125
64,1,0.64,14876.177734375
64,2,0.64,15342.0849609375
64,3,0.64,15018.5595703125
65,0,0.65,14984.4208984375
65,1,0.65,15123.8232421875
65,2,0.65,14657.9169921875
65,3,0.65,14981.44140625
66,0,0.66,15015.580078125
66,1,0.66,14876.177734375
66,2,0.66,15342.080078125
66,3,0.66,15018.560546875
67,0,0.67,14984.4228515625
67,1,0.67,15123.8232421875
67,2,0.67,14657.9130859375
67,3,0.67,14981.4365234375
68,0,0.68,15015.5732421875
68,1,0.68,14876.1767578125
68,2,0.68,15342.0947265625
68,3,0.68,15018.56640625
69,0,0.69,14984.4296875
69,1,0.69,15123.8232421875
69,2,0.69,14657.8974609375
69,3,0.69,14981.4306640625
70,0,0.7,15015.5654296875
70,1,0.7,14876.1767578125
70,2,0.7,15342.1083984375
70,3,0.7,15018.5712890625
71,0,0.71,14984.4365234375
71,1,0.71,15123.8232421875
71,2,0.71,14657.8837890625
71,3,0.71,14981.42578125
72,0,0.72,15015.560546875
72,1,0.72,14876.17578125
72,2,0.72,15342.125
72,3,0.72,15018.5771484375
73,0,0.73,14984.4443359375
73,1,0.73,15123.8232421875
73,2,0.73,14657.869140625
73,3,0.73,14981.419921875
74,0,0.74,15015.5537109375
74,1,0.74,14876.17578125
74,2,0.74,15342.138671875
74,3,0.74,15018.58203125
75,0,0.75,14984.4501953125
75,1,0.75,15123.8251953125
75,2,0.75,14657.853515625
75,3,0.75,14981.4140625
76,0,0.76,15015.5458984375
76,1,0.76,14876.17578125
76,2,0.76,15342.1533203125
76,3,0.76,15018.587890625
77,0,0.77,14984.45703125
77,1,0.77,15123.8251953125
77,2,0.77,14657.83984375
77,3,0.77,14981.4091796875
78,0,0.78,15015.5390625
78,1,0.78,14876.1748046875
78,2,0.78,15342.16796875
78,3,0.78,15018.5947265625
79,0,0.79,14984.46484375
79,1,0.79,15123.8251953125
79,2,0.79,14657.8251953125
79,3,0.79,14981.4033203125
80,0,0.8,15015.5322265625
80,1,0.8,14876.1748046875
80,2,0.8,15342.181640625
80,3,0.8,15018.6005859375
81,0,0.81,14984.470703125
81,1,0.81,15123.8251953125
81,2,0.81,14657.810546875
81,3,0.81,14981.3984375
82,0,0.82,15015.5244140625
82,1,0.82,14876.1748046875
82,2,0.82,15342.1962890625
82,3,0.82,15018.60546875
83,0,0.83,14984.478515625
83,1,0.83,15123.8251953125
83,2,0.83,14657.7958984375
83,3,0.83,14981.3916015625
84,0,0.84,15015.51953125
84,1,0.84,14876.173828125
84,2,0.84,15342.2109375
84,3,0.84,15018.611328125
85,0,0.85,14984.4853515625
85,1,0.85,15123.8271484375
85,2,0.85,14657.78125
85,3,0.85,14981.38671875
86,0,0.86,15015.51171875
86,1,0.86,14876.173828125
86,2,0.86,15342.2265625
86,3,0.86,15018.6162109375
87,0,0.87,14984.4921875
87,1,0.87,15123.8271484375
87,2,0.87,14657.767578125
87,3,0.87,14981.380859375
88,0,0.88,15015.5048828125
88,1,0.88,14876.1728515625
88,2,0.88,15342.2412109375
88,3,0.88,15018.6220703125
89,0,0.89,14984.4990234375
89,1,0.89,15123.8271484375
89,2,0.89,14657.751953125
89,3,0.89,14981.3759765625
90,0,0.9,15015.498046875
90,1,0.9,14876.1728515625
90,2,0.9,15342.2548828125
90,3,0.9,15018.626953125
91,0,0.91,14984.505859375
91,1,0.91,15123.8271484375
91,2,0.91,14657.7373046875
91,3,0.91,14981.3701171875
92,0,0.92,15015.490234375
92,1,0.92,14876.1728515625
92,2,0.92,15342.26953125
92,3,0.92,15018.6328125
93,0,0.93,14984.5126953125
93,1,0.93,15123.8271484375
93,2,0.93,14657.7236328125
93,3,0.93,14981.365234375
94,0,0.94,15015.4833984375
94,1,0.94,14876.171875
94,2,0.94,15342.2841796875
94,3,0.94,15018.6376953125
95,0,0.95,14984.51953125
95,1,0.95,15123.8271484375
95,2,0.95,14657.708984375
95,3,0.95,14981.3583984375
96,0,0.96,15015.4765625
96,1,0.96,14876.171875
96,2,0.96,15342.2978515625
96,3,0.96,15018.6435546875
97,0,0.97,14984.5263671875
97,1,0.97,15123.8291015625
97,2,0.97,14657.693359375
97,3,0.97,14981.353515625
98,0,0.98,15015.470703125
98,1,0.98,14876.1708984375
98,2,0.98,15342.3125
98,3,0.98,15018.6484375
99,0,0.99,14984.533203125
99,1,0.99,15123.8291015625
99,2,0.99,14657.6796875
99,3,0.99,14981.34765625
100,0,1.0,15015.4638671875
100,1,1.0,14876.1708984375
100,2,1.0,15342.3271484375
100,3,1.0,15018.6552734375
101,0,1.01,14984.5400390625
101,1,1.01,15123.8291015625
101,2,1.01,14657.6650390625
101,3,1.01,14981.3427734375
102,0,1.02,15015.45703125
102,1,1.02,14876.1708984375
102,2,1.02,15342.3427734375
102,3,1.02,15018.6611328125
103,0,1.03,14984.546875
103,1,1.03,15123.8291015625
103,2,1.03,14657.6513671875
103,3,1.03,14981.3369140625
104,0,1.04,15015.44921875
104,1,1.04,14876.1708984375
104,2,1.04,15342.357421875
104,3,1.04,15018.666015625
105,0,1.05,14984.5537109375
105,1,1.05,15123.8291015625
105,2,1.05,14657.6357421875
105,3,1.05,14981.3310546875
106,0,1.06,15015.4423828125
106,1,1.06,14876.1708984375
106,2,1.06,15342.37109375
106,3,1.06,15018.671875
107,0,1.07,14984.5615234375
107,1,1.07,15123.830078125
107,2,1.07,14657.62109375
107,3,1.07,14981.3251953125
108,0,1.08,15015.435546875
108,1,1.08,14876.1708984375
108,2,1.08,15342.3857421875
108,3,1.08,15018.6767578125
109,0,1.09,14984.5673828125
109,1,1.09,15123.830078125
109,2,1.09,14657.607421875
109,3,1.09,14981.3203125
110,0,1.1,15015.427734375
110,1,1.1,14876.169921875
110,2,1.1,15342.400390625
110,3,1.1,15018.6826171875
111,0,1.11,14984.57421875
111,1,1.11,15123.830078125
111,2,1.11,14657.5927734375
111,3,1.11,14981.314453125
112,0,1.12,15015.4228515625
112,1,1.12,14876.169921875
112,2,1.12,15342.4140625
112,3,1.12,15018.6875
113,0,1.13,14984.58203125
113,1,1.13,15123.830078125
113,2,1.13,14657.5771484375
113,3,1.13,14981.3095703125
114,0,1.14,15015.416015625
114,1,1.14,14876.1689453125
114,2,1.14,15342.4287109375
114,3,1.14,15018.693359375
115,0,1.15,14984.587890625
115,1,1.15,15123.830078125
115,2,1.15,14657.5634765625
115,3,1.15,14981.3037109375
116,0,1.16,15015.408203125
116,1,1.16,14876.1689453125
116,2,1.16,15342.443359375
116,3,1.16,15018.6982421875
117,0,1.17,14984.5947265625
117,1,1.17,15123.83203125
117,2,1.17,14657.548828125
117,3,1.17,14981.2978515625
118,0,1.18,15015.4013671875
118,1,1.18,14876.1689453125
118,2,1.18,15342.458984375
118,3,1.18,15018.7041015625
119,0,1.19,14984.6025390625
119,1,1.19,15123.83203125
119,2,1.19,14657.5341796875
119,3,1.19,14981.29296875
120,0,1.2,15015.39453125
120,1,1.2,14876.16796875
120,2,1.2,15342.4736328125
120,3,1.2,15018.708984375
121,0,1.21,14984.609375
121,1,1.21,15123.83203125
121,2,1.21,14657.51953125
121,3,1.21,14981.287109375
122,0,1.22,15015.38671875
122,1,1.22,14876.16796875
122,2,1.22,15342.4873046875
122,3,1.22,15018.716796875
123,0,1.23,14984.6162109375
123,1,1.23,15123.83203125
123,2,1.23,14657.5048828125
123,3,1.23,14981.2822265625
124,0,1.24,15015.3798828125
124,1,1.24,14876.16796875
124,2,1.24,15342.501953125
124,3,1.24,15018.7216796875
125,0,1.25,14984.623046875
125,1,1.25,15123.83203125
125,2,1.25,14657.4912109375
125,3,1.25,14981.2763671875
126,0,1.26,15015.3740234375
126,1,1.26,14876.1669921875
126,2,1.26,15342.5166015625
126,3,1.26,15018.7275390625
127,0,1.27,14984.6298828125
127,1,1.27,15123.83203125
127,2,1.27,14657.4765625
127,3,1.27,14981.2705078125
128,0,1.28,15015.3671875
128,1,1.28,14876.1669921875
128,2,1.28,15342.5302734375
128,3,1.28,15018.732421875
129,0,1.29,14984.63671875
129,1,1.29,15123.833984375
129,2,1.29,14657.4619140625
129,3,1.29,14981.2646484375
130,0,1.3,15015.3603515625
130,1,1.3,14876.1669921875
130,2,1.3,15342.544921875
130,3,1.3,15018.73828125
131,0,1.31,14984.634765625
131,1,1.31,15123.833984375
131,2,1.31,14657.447265625
131,3,1.31,14981.267578125
132,0,1.32,15015.3623046875
132,1,1.32,14876.166015625
132,2,1.32,15342.5595703125
132,3,1.32,15018.736328125
133,0,1.33,14984.640625
133,1,1.33,15123.833984375
133,2,1.33,14657.4326171875
133,3,1.33,14981.2607421875
134,0,1.34,15015.3544921875
134,1,1.34,14876.166015625
134,2,1.34,15342.5732421875
134,3,1.34,15018.7412109375
135,0,1.35,14984.6474609375
135,1,1.35,15123.833984375
135,2,1.35,14657.41796875
135,3,1.35,14981.255859375
136,0,1.36,15015.349609375
136,1,1.36,14876.1650390625
136,2,1.36,15342.58984375
136,3,1.36,15018.7470703125
137,0,1.37,14984.6552734375
137,1,1.37,15123.833984375
137,2,1.37,14657.404296875
137,3,1.37,14981.25
138,0,1.38,15015.341796875
138,1,1.38,14876.1650390625
138,2,1.38,15342.603515625
138,3,1.38,15018.751953125
139,0,1.39,14984.6611328125
139,1,1.39,15123.8359375
139,2,1.39,14657.3896484375
139,3,1.39,14981.2451171875
140,0,1.4,15015.3349609375
140,1,1.4,14876.1650390625
140,2,1.4,15342.6181640625
140,3,1.4,15018.7578125
141,0,1.41,14984.6689453125
141,1,1.41,15123.8359375
141,2,1.41,14657.375
141,3,1.41,14981.2392578125
142,0,1.42,15015.328125
142,1,1.42,14876.1640625
142,2,1.42,15342.6328125
142,3,1.42,15018.7626953125
143,0,1.43,14984.67578125
143,1,1.43,15123.8359375
143,2,1.43,14657.3603515625
143,3,1.43,14981.234375
144,0,1.44,15015.3203125
144,1,1.44,14876.1640625
144,2,1.44,15342.646484375
144,3,1.44,15018.7685546875
145,0,1.45,14984.6826171875
145,1,1.45,15123.8359375
145,2,1.45,14657.345703125
145,3,1.45,14981.228515625
146,0,1.46,15015.3134765625
146,1,1.46,14876.1640625
146,2,1.46,15342.6611328125
146,3,1.46,15018.7734375
147,0,1.47,14984.689453125
147,1,1.47,15123.8359375
147,2,1.47,14657.33203125
147,3,1.47,14981.22265625
148,0,1.48,15015.306640625
148,1,1.48,14876.1630859375
148,2,1.48,15342.67578125
148,3,1.48,15018.779296875
149,0,1.49,14984.6962890625
149,1,1.49,15123.8359375
149,2,1.49,14657.3173828125
149,3,1.49,14981.2177734375
150,0,1.5,15015.30078125
150,1,1.5,14876.1630859375
150,2,1.5,15342.689453125
150,3,1.5,15018.7861328125
151,0,1.51,14984.703125
151,1,1.51,15123.837890625
151,2,1.51,14657.3017578125
151,3,1.51,14981.2119140625
152,0,1.52,15015.2939453125
152,1,1.52,14876.1630859375
152,2,1.52,15342.7041015625
152,3,1.52,15018.7919921875
153,0,1.53,14984.7099609375
153,1,1.53,15123.837890625
153,2,1.53,14657.2880859375
153,3,1.53,14981.20703125
154,0,1.54,15015.287109375
154,1,1.54,14876.162109375
154,2,1.54,15342.71875
154,3,1.54,15018.796875
155,0,1.55,14984.716796875
155,1,1.55,15123.837890625
155,2,1.55,14657.2734375
155,3,1.55,14981.2001953125
156,0,1.56,15015.279296875
156,1,1.56,14876.162109375
156,2,1.56,15342.732421875
156,3,1.56,15018.802734375
157,0,1.57,14984.7236328125
157,1,1.57,15123.837890625
157,2,1.57,14657.259765625
157,3,1.57,14981.1953125
158,0,1.58,15015.2724609375
158,1,1.58,14876.162109375
158,2,1.58,15342.7490234375
158,3,1.58,15018.8076171875
159,0,1.59,14984.73046875
159,1,1.59,15123.837890625
159,2,1.59,14657.2451171875
159,3,1.59,14981.189453125
160,0,1.6,15015.265625
160,1,1.6,14876.1611328125
160,2,1.6,15342.7626953125
160,3,1.6,15018.8134765625
161,0,1.61,14984.7373046875
161,1,1.61,15123.837890625
161,2,1.61,14657.23046875
161,3,1.61,14981.1845703125
162,0,1.62,15015.2578125
162,1,1.62,14876.1611328125
162,2,1.62,15342.77734375
162,3,1.62,15018.818359375
163,0,1.63,14984.744140625
163,1,1.63,15123.83984375
163,2,1.63,14657.2158203125
163,3,1.63,14981.1787109375
164,0,1.64,15015.2529296875
164,1,1.64,14876.1611328125
164,2,1.64,15342.7919921875
164,3,1.64,15018.82421875
165,0,1.65,14984.751953125
165,1,1.65,15123.83984375
165,2,1.65,14657.201171875
165,3,1.65,14981.173828125
166,0,1.66,15015.24609375
166,1,1.66,14876.16015625
166,2,1.66,15342.8056640625
166,3,1.66,15018.8291015625
167,0,1.67,14984.7578125
167,1,1.67,15123.83984375
167,2,1.67,14657.1865234375
167,3,1.67,14981.1669921875
168,0,1.68,15015.23828125
168,1,1.68,14876.16015625
168,2,1.68,15342.8203125
168,3,1.68,15018.833984375
169,0,1.69,14984.7646484375
169,1,1.69,15123.83984375
169,2,1.69,14657.1728515625
169,3,1.69,14981.162109375
170,0,1.7,15015.2314453125
170,1,1.7,14876.16015625
170,2,1.7,15342.8349609375
170,3,1.7,15018.83984375
171,0,1.71,14984.7724609375
171,1,1.71,15123.83984375
171,2,1.71,14657.158203125
171,3,1.71,14981.15625
172,0,1.72,15015.224609375
172,1,1.72,14876.16015625
172,2,1.72,15342.8486328125
172,3,1.72,15018.8466796875
173,0,1.73,14984.7783203125
173,1,1.73,15123.83984375
173,2,1.73,14657.1435546875
173,3,1.73,14981.1513671875
174,0,1.74,15015.216796875
174,1,1.74,14876.16015625
174,2,1.74,15342.86328125
174,3,1.74,15018.8525390625
175,0,1.75,14984.78515625
175,1,1.75,15123.8408203125
175,2,1.75,14657.1298828125
175,3,1.75,14981.1455078125
176,0,1.76,15015.2099609375
176,1,1.76,14876.16015625
176,2,1.76,15342.8779296875
176,3,1.76,15018.857421875
177,0,1.77,14984.79296875
177,1,1.77,15123.8408203125
177,2,1.77,14657.1142578125
177,3,1.77,14981.140625
178,0,1.78,15015.2041015625
178,1,1.78,14876.1591796875
178,2,1.78,15342.8916015625
178,3,1.78,15018.86328125
179,0,1.79,14984.7998046875
179,1,1.79,15123.8408203125
179,2,1.79,14657.1005859375
179,3,1.79,14981.1337890625
180,0,1.8,15015.197265625
180,1,1.8,14876.1591796875
180,2,1.8,15342.90625
180,3,1.8,15018.8681640625
181,0,1.81,14984.806640625
181,1,1.81,15123.8408203125
181,2,1.81,14657.0859375
181,3,1.81,14981.12890625
182,0,1.82,15015.1904296875
182,1,1.82,14876.1591796875
182,2,1.82,15342.9208984375
182,3,1.82,15018.8740234375
183,0,1.83,14984.8134765625
183,1,1.83,15123.8408203125
183,2,1.83,14657.0712890625
183,3,1.83,14981.123046875
184,0,1.84,15015.1826171875
184,1,1.84,14876.158203125
184,2,1.84,15342.9365234375
184,3,1.84,15018.87890625
185,0,1.85,14984.8203125
185,1,1.85,15123.8408203125
185,2,1.85,14657.0576171875
185,3,1.85,14981.1181640625
186,0,1.86,15015.17578125
186,1,1.86,14876.158203125
186,2,1.86,15342.951171875
186,3,1.86,15018.884765625
187,0,1.87,14984.8271484375
187,1,1.87,15123.8427734375
187,2,1.87,14657.04296875
187,3,1.87,14981.1123046875
188,0,1.88,15015.1689453125
188,1,1.88,14876.158203125
188,2,1.88,15342.96484375
188,3,1.88,15018.8896484375
189,0,1.89,14984.833984375
189,1,1.89,15123.8427734375
189,2,1.89,14657.0283203125
189,3,1.89,14981.107421875
190,0,1.9,15015.162109375
190,1,1.9,14876.1572265625
190,2,1.9,15342.9794921875
190,3,1.9,15018.8955078125
191,0,1.91,14984.8408203125
191,1,1.91,15123.8427734375
191,2,1.91,14657.013671875
191,3,1.91,14981.1015625
192,0,1.92,15015.15625
192,1,1.92,14876.1572265625
192,2,1.92,15342.994140625
192,3,1.92,15018.900390625
193,0,1.93,14984.8486328125
193,1,1.93,15123.8427734375
193,2,1.93,14656.9990234375
193,3,1.93,14981.095703125
194,0,1.94,15015.1494140625
194,1,1.94,14876.1572265625
194,2,1.94,15343.0078125
194,3,1.94,15018.90625
195,0,1.95,14984.8544921875
195,1,1.95,15123.8427734375
195,2,1.95,14656.984375
195,3,1.95,14981.0908203125
196,0,1.96,15015.1416015625
196,1,1.96,14876.15625
196,2,1.96,15343.0224609375
196,3,1.96,15018.9130859375
197,0,1.97,14984.861328125
197,1,1.97,15123.8427734375
197,2,1.97,14656.970703125
197,3,1.97,14981.0849609375
198,0,1.98,15015.134765625
198,1,1.98,14876.15625
198,2,1.98,15343.037109375
198,3,1.98,15018.9189453125
199,0,1.99,14984.869140625
199,1,1.99,15123.8447265625
199,2,1.99,14656.9560546875
199,3,1.99,14981.080078125
