step,time_s,target_vx,actual_vx
0,0.0,0.0,0.0
1,0.01,0.2499,0.05
2,0.02,0.4992,0.1
3,0.03,0.7472,0.15
4,0.04,0.9933,0.2
5,0.05,1.237,0.25
6,0.06,1.4776,0.3
7,0.07,1.7145,0.35
8,0.08,1.9471,0.4
9,0.09,2.1748,0.45
10,0.1,2.3971,0.5
11,0.11,2.6134,0.55
12,0.12,2.8232,0.6
13,0.13,3.0259,0.65
14,0.14,3.2211,0.7
15,0.15,3.4082,0.75
16,0.16,3.5868,0.8
17,0.17,3.7564,0.85
18,0.18,3.9166,0.9
19,0.19,4.0671,0.95
20,0.2,4.2074,1.0
21,0.21,4.3371,1.05
22,0.22,4.456,1.1
23,0.23,4.5638,1.15
24,0.24,4.6602,1.2
25,0.25,4.7449,1.25
26,0.26,4.8178,1.3
27,0.27,4.8786,1.35
28,0.28,4.9272,1.4
29,0.29,4.9636,1.45
30,0.3,4.9875,1.5
31,0.31,4.9989,1.55
32,0.32,4.9979,1.6
33,0.33,4.9843,1.65
34,0.34,4.9583,1.7
35,0.35,4.9199,1.75
36,0.36,4.8692,1.8
37,0.37,4.8064,1.85
38,0.38,4.7315,1.9
39,0.39,4.6448,1.95
40,0.4,4.5465,2.0
41,0.41,4.4368,2.05
42,0.42,4.316,2.1
43,0.43,4.1845,2.15
44,0.44,4.0425,2.2
45,0.45,3.8904,2.25
46,0.46,3.7285,2.3
47,0.47,3.5574,2.35
48,0.48,3.3773,2.4
49,0.49,3.1888,2.45
50,0.5,2.9924,2.5
51,0.51,2.7884,2.55
52,0.52,2.5775,2.5775
53,0.53,2.3602,2.5275
54,0.54,2.1369,2.4775
55,0.55,1.9083,2.4275
56,0.56,1.6749,2.3775
57,0.57,1.4374,2.3275
58,0.58,1.1962,2.2775
59,0.59,0.9521,2.2275
60,0.6,0.7056,2.1775
61,0.61,0.4573,2.1275
62,0.62,0.2079,2.0775
63,0.63,-0.042,2.0275
64,0.64,-0.2919,1.9775
65,0.65,-0.541,1.9275
66,0.66,-0.7887,1.8775
67,0.67,-1.0345,1.8275
68,0.68,-1.2777,1.7775
69,0.69,-1.5177,1.7275
70,0.7,-1.7539,1.6775
71,0.71,-1.9857,1.6275
72,0.72,-2.2126,1.5775
73,0.73,-2.4339,1.5275
74,0.74,-2.6492,1.4775
75,0.75,-2.8578,1.4275
76,0.76,-3.0593,1.3775
77,0.77,-3.2531,1.3275
78,0.78,-3.4388,1.2775
79,0.79,-3.6159,1.2275
80,0.8,-3.784,1.1775
81,0.81,-3.9426,1.1275
82,0.82,-4.0914,1.0775
83,0.83,-4.2299,1.0275
84,0.84,-4.3579,0.9775
85,0.85,-4.4749,0.9275
86,0.86,-4.5808,0.8775
87,0.87,-4.6753,0.8275
88,0.88,-4.758,0.7775
89,0.89,-4.8289,0.7275
90,0.9,-4.8877,0.6775
91,0.91,-4.9342,0.6275
92,0.92,-4.9685,0.5775
93,0.93,-4.9903,0.5275
94,0.94,-4.9996,0.4775
95,0.95,-4.9965,0.4275
96,0.96,-4.9808,0.3775
97,0.97,-4.9527,0.3275
98,0.98,-4.9123,0.2775
99,0.99,-4.8595,0.2275
100,1.0,-4.7946,0.1775
101,1.01,-4.7177,0.1275
102,1.02,-4.6291,0.0775
103,1.03,-4.5288,0.0275
104,1.04,-4.4173,-0.0225
105,1.05,-4.2947,-0.0725
106,1.06,-4.1613,-0.1225
107,1.07,-4.0176,-0.1725
108,1.08,-3.8638,-0.2225
109,1.09,-3.7004,-0.2725
110,1.1,-3.5277,-0.3225
111,1.11,-3.3462,-0.3725
112,1.12,-3.1563,-0.4225
113,1.13,-2.9586,-0.4725
114,1.14,-2.7534,-0.5225
115,1.15,-2.5414,-0.5725
116,1.16,-2.323,-0.6225
117,1.17,-2.0988,-0.6725
118,1.18,-1.8694,-0.7225
119,1.19,-1.6353,-0.7725
120,1.2,-1.3971,-0.8225
121,1.21,-1.1554,-0.8725
122,1.22,-0.9108,-0.9108
123,1.23,-0.664,-0.8608
124,1.24,-0.4154,-0.8108
125,1.25,-0.1659,-0.7608
126,1.26,0.0841,-0.7108
127,1.27,0.3338,-0.6608
128,1.28,0.5827,-0.6108
129,1.29,0.8302,-0.5608
130,1.3,1.0756,-0.5108
131,1.31,1.3183,-0.4608
132,1.32,1.5577,-0.4108
133,1.33,1.7932,-0.3608
134,1.34,2.0242,-0.3108
135,1.35,2.2502,-0.2608
136,1.36,2.4706,-0.2108
137,1.37,2.6847,-0.1608
138,1.38,2.8922,-0.1108
139,1.39,3.0924,-0.0608
140,1.4,3.2849,-0.0108
141,1.41,3.4692,0.0392
142,1.42,3.6448,0.0892
143,1.43,3.8114,0.1392
144,1.44,3.9683,0.1892
145,1.45,4.1154,0.2392
146,1.46,4.2522,0.2892
147,1.47,4.3783,0.3392
148,1.48,4.4935,0.3892
149,1.49,4.5975,0.4392
150,1.5,4.69,0.4892
151,1.51,4.7708,0.5392
152,1.52,4.8396,0.5892
153,1.53,4.8963,0.6392
154,1.54,4.9408,0.6892
155,1.55,4.973,0.7392
156,1.56,4.9927,0.7892
157,1.57,5.0,0.8392
158,1.58,4.9947,0.8892
159,1.59,4.977,0.9392
160,1.6,4.9468,0.9892
161,1.61,4.9042,1.0392
162,1.62,4.8494,1.0892
163,1.63,4.7825,1.1392
164,1.64,4.7037,1.1892
165,1.65,4.613,1.2392
166,1.66,4.5109,1.2892
167,1.67,4.3974,1.3392
168,1.68,4.273,1.3892
169,1.69,4.1379,1.4392
170,1.7,3.9924,1.4892
171,1.71,3.837,1.5392
172,1.72,3.672,1.5892
173,1.73,3.4978,1.6392
174,1.74,3.3148,1.6892
175,1.75,3.1236,1.7392
176,1.76,2.9246,1.7892
177,1.77,2.7182,1.8392
178,1.78,2.5051,1.8892
179,1.79,2.2857,1.9392
180,1.8,2.0606,1.9892
181,1.81,1.8303,1.9392
182,1.82,1.5955,1.8892
183,1.83,1.3567,1.8392
184,1.84,1.1144,1.7892
185,1.85,0.8694,1.7392
186,1.86,0.6223,1.6892
187,1.87,0.3735,1.6392
188,1.88,0.1239,1.5892
189,1.89,-0.1261,1.5392
190,1.9,-0.3758,1.4892
191,1.91,-0.6245,1.4392
192,1.92,-0.8716,1.3892
193,1.93,-1.1166,1.3392
194,1.94,-1.3588,1.2892
195,1.95,-1.5976,1.2392
196,1.96,-1.8324,1.1892
197,1.97,-2.0626,1.1392
198,1.98,-2.2877,1.0892
199,1.99,-2.507,1.0392
200,2.0,-2.7201,0.9892
201,2.01,-2.9264,0.9392
202,2.02,-3.1254,0.8892
203,2.03,-3.3165,0.8392
204,2.04,-3.4994,0.7892
205,2.05,-3.6735,0.7392
206,2.06,-3.8384,0.6892
207,2.07,-3.9938,0.6392
208,2.08,-4.1391,0.5892
209,2.09,-4.2741,0.5392
210,2.1,-4.3985,0.4892
211,2.11,-4.5118,0.4392
212,2.12,-4.6139,0.3892
213,2.13,-4.7044,0.3392
214,2.14,-4.7832,0.2892
215,2.15,-4.85,0.2392
216,2.16,-4.9047,0.1892
217,2.17,-4.9471,0.1392
218,2.18,-4.9772,0.0892
219,2.19,-4.9948,0.0392
220,2.2,-5.0,-0.0108
221,2.21,-4.9926,-0.0608
222,2.22,-4.9728,-0.1108
223,2.23,-4.9405,-0.1608
224,2.24,-4.8959,-0.2108
225,2.25,-4.839,-0.2608
226,2.26,-4.7701,-0.3108
227,2.27,-4.6892,-0.3608
228,2.28,-4.5966,-0.4108
229,2.29,-4.4926,-0.4608
230,2.3,-4.3773,-0.5108
231,2.31,-4.251,-0.5608
232,2.32,-4.1141,-0.6108
233,2.33,-3.967,-0.6608
234,2.34,-3.8099,-0.7108
235,2.35,-3.6433,-0.7608
236,2.36,-3.4676,-0.8108
237,2.37,-3.2833,-0.8608
238,2.38,-3.0907,-0.9108
239,2.39,-2.8904,-0.9608
240,2.4,-2.6829,-1.0108
241,2.41,-2.4686,-1.0608
242,2.42,-2.2482,-1.1108
243,2.43,-2.0222,-1.1608
244,2.44,-1.7911,-1.2108
245,2.45,-1.5556,-1.2608
246,2.46,-1.3162,-1.3108
247,2.47,-1.0734,-1.2608
248,2.48,-0.828,-1.2108
249,2.49,-0.5805,-1.1608
250,2.5,-0.3316,-1.1108
251,2.51,-0.0818,-1.0608
252,2.52,0.1681,-1.0108
253,2.53,0.4177,-0.9608
254,2.54,0.6662,-0.9108
255,2.55,0.913,-0.8608
256,2.56,1.1575,-0.8108
257,2.57,1.3992,-0.7608
258,2.58,1.6374,-0.7108
259,2.59,1.8714,-0.6608
260,2.6,2.1008,-0.6108
261,2.61,2.325,-0.5608
262,2.62,2.5433,-0.5108
263,2.63,2.7553,-0.4608
264,2.64,2.9604,-0.4108
265,2.65,3.1581,-0.3608
266,2.66,3.3478,-0.3108
267,2.67,3.5293,-0.2608
268,2.68,3.7019,-0.2108
269,2.69,3.8652,-0.1608
270,2.7,4.0189,-0.1108
271,2.71,4.1626,-0.0608
272,2.72,4.2958,-0.0108
273,2.73,4.4183,0.0392
274,2.74,4.5298,0.0892
275,2.75,4.6299,0.1392
276,2.76,4.7185,0.1892
277,2.77,4.7953,0.2392
278,2.78,4.86,0.2892
279,2.79,4.9127,0.3392
280,2.8,4.953,0.3892
281,2.81,4.981,0.4392
282,2.82,4.9965,0.4892
283,2.83,4.9996,0.5392
284,2.84,4.9901,0.5892
285,2.85,4.9682,0.6392
286,2.86,4.9339,0.6892
287,2.87,4.8872,0.7392
288,2.88,4.8283,0.7892
289,2.89,4.7573,0.8392
290,2.9,4.6745,0.8892
291,2.91,4.5799,0.9392
292,2.92,4.474,0.9892
293,2.93,4.3568,1.0392
294,2.94,4.2287,1.0892
295,2.95,4.0901,1.1392
296,2.96,3.9413,1.1892
297,2.97,3.7826,1.2392
298,2.98,3.6144,1.2892
299,2.99,3.4372,1.3392
