distance_to_wall_m,f_max_N,force_x_N
0.5,0.1,0.0
0.4949,0.1,0.0
0.4899,0.1,0.0
0.4848,0.1,0.0
0.4798,0.1,0.0
0.4747,0.1,0.0
0.4697,0.1,0.0
0.4646,0.1,0.0
0.4596,0.1,0.0
0.4545,0.1,0.0
0.4495,0.1,0.0
0.4444,0.1,0.0
0.4394,0.1,0.0
0.4343,0.1,0.0
0.4293,0.1,0.0
0.4242,0.1,0.0
0.4192,0.1,0.0
0.4141,0.1,0.0
0.4091,0.1,0.0
0.404,0.1,0.0
0.399,0.1,0.0
0.3939,0.1,0.0
0.3889,0.1,0.0
0.3838,0.1,0.0
0.3788,0.1,0.0
0.3737,0.1,0.0
0.3687,0.1,0.0
0.3636,0.1,0.0
0.3586,0.1,0.0
0.3535,0.1,0.0
0.3485,0.1,0.0
0.3434,0.1,0.0
0.3384,0.1,0.0
0.3333,0.1,0.0
0.3283,0.1,0.0
0.3232,0.1,0.0
0.3182,0.1,0.0
0.3131,0.1,0.0
0.3081,0.1,0.0
0.303,0.1,0.0
0.298,0.1,-5e-06
0.2929,0.1,-5.6e-05
0.2879,0.1,-0.000163
0.2828,0.1,-0.000328
0.2778,0.1,-0.000549
0.2727,0.1,-0.000826
0.2677,0.1,-0.001161
0.2626,0.1,-0.001552
0.2576,0.1,-0.002
0.2525,0.1,-0.002504
0.2475,0.1,-0.003065
0.2424,0.1,-0.003683
0.2374,0.1,-0.004358
0.2323,0.1,-0.005089
0.2273,0.1,-0.005877
0.2222,0.1,-0.006722
0.2172,0.1,-0.007623
0.2121,0.1,-0.008581
0.2071,0.1,-0.009595
0.202,0.1,-0.010667
0.197,0.1,-0.011795
0.1919,0.1,-0.012979
0.1869,0.1,-0.014221
0.1818,0.1,-0.015519
0.1768,0.1,-0.016874
0.1717,0.1,-0.018285
0.1667,0.1,-0.019753
0.1616,0.1,-0.021278
0.1566,0.1,-0.022859
0.1515,0.1,-0.024498
0.1465,0.1,-0.026192
0.1414,0.1,-0.027944
0.1364,0.1,-0.029752
0.1313,0.1,-0.031617
0.1263,0.1,-0.033539
0.1212,0.1,-0.035517
0.1162,0.1,-0.037552
0.1111,0.1,-0.039643
0.1061,0.1,-0.041792
0.101,0.1,-0.043997
0.096,0.1,-0.046258
0.0909,0.1,-0.048577
0.0859,0.1,-0.050952
0.0808,0.1,-0.053383
0.0758,0.1,-0.055872
0.0707,0.1,-0.058417
0.0657,0.1,-0.061019
0.0606,0.1,-0.063677
0.0556,0.1,-0.066392
0.0505,0.1,-0.069164
0.0455,0.1,-0.071993
0.0404,0.1,-0.074878
0.0354,0.1,-0.07782
0.0303,0.1,-0.080818
0.0253,0.1,-0.083873
0.0202,0.1,-0.086985
0.0152,0.1,-0.090154
0.0101,0.1,-0.093379
0.0051,0.1,-0.096661
0.0,0.1,-0.1
0.5,0.25,0.0
0.4949,0.25,0.0
0.4899,0.25,0.0
0.4848,0.25,0.0
0.4798,0.25,0.0
0.4747,0.25,0.0
0.4697,0.25,0.0
0.4646,0.25,0.0
0.4596,0.25,0.0
0.4545,0.25,0.0
0.4495,0.25,0.0
0.4444,0.25,0.0
0.4394,0.25,0.0
0.4343,0.25,0.0
0.4293,0.25,0.0
0.4242,0.25,0.0
0.4192,0.25,0.0
0.4141,0.25,0.0
0.4091,0.25,0.0
0.404,0.25,0.0
0.399,0.25,0.0
0.3939,0.25,0.0
0.3889,0.25,0.0
0.3838,0.25,0.0
0.3788,0.25,0.0
0.3737,0.25,0.0
0.3687,0.25,0.0
0.3636,0.25,0.0
0.3586,0.25,0.0
0.3535,0.25,0.0
0.3485,0.25,0.0
0.3434,0.25,0.0
0.3384,0.25,0.0
0.3333,0.25,0.0
0.3283,0.25,0.0
0.3232,0.25,0.0
0.3182,0.25,0.0
0.3131,0.25,0.0
0.3081,0.25,0.0
0.303,0.25,0.0
0.298,0.25,-1.1e-05
0.2929,0.25,-0.000139
0.2879,0.25,-0.000408
0.2828,0.25,-0.000819
0.2778,0.25,-0.001372
0.2727,0.25,-0.002066
0.2677,0.25,-0.002902
0.2626,0.25,-0.00388
0.2576,0.25,-0.004999
0.2525,0.25,-0.006261
0.2475,0.25,-0.007664
0.2424,0.25,-0.009208
0.2374,0.25,-0.010895
0.2323,0.25,-0.012723
0.2273,0.25,-0.014692
0.2222,0.25,-0.016804
0.2172,0.25,-0.019057
0.2121,0.25,-0.021452
0.2071,0.25,-0.023988
0.202,0.25,-0.026667
0.197,0.25,-0.029487
0.1919,0.25,-0.032448
0.1869,0.25,-0.035552
0.1818,0.25,-0.038797
0.1768,0.25,-0.042184
0.1717,0.25,-0.045712
0.1667,0.25,-0.049383
0.1616,0.25,-0.053195
0.1566,0.25,-0.057148
0.1515,0.25,-0.061244
0.1465,0.25,-0.065481
0.1414,0.25,-0.06986
0.1364,0.25,-0.07438
0.1313,0.25,-0.079042
0.1263,0.25,-0.083846
0.1212,0.25,-0.088792
0.1162,0.25,-0.093879
0.1111,0.25,-0.099108
0.1061,0.25,-0.104479
0.101,0.25,-0.109992
0.096,0.25,-0.115646
0.0909,0.25,-0.121442
0.0859,0.25,-0.127379
0.0808,0.25,-0.133459
0.0758,0.25,-0.13968
0.0707,0.25,-0.146042
0.0657,0.25,-0.152547
0.0606,0.25,-0.159193
0.0556,0.25,-0.165981
0.0505,0.25,-0.17291
0.0455,0.25,-0.179982
0.0404,0.25,-0.187195
0.0354,0.25,-0.194549
0.0303,0.25,-0.202046
0.0253,0.25,-0.209684
0.0202,0.25,-0.217464
0.0152,0.25,-0.225385
0.0101,0.25,-0.233448
0.0051,0.25,-0.241653
0.0,0.25,-0.25
0.5,0.5,0.0
0.4949,0.5,0.0
0.4899,0.5,0.0
0.4848,0.5,0.0
0.4798,0.5,0.0
0.4747,0.5,0.0
0.4697,0.5,0.0
0.4646,0.5,0.0
0.4596,0.5,0.0
0.4545,0.5,0.0
0.4495,0.5,0.0
0.4444,0.5,0.0
0.4394,0.5,0.0
0.4343,0.5,0.0
0.4293,0.5,0.0
0.4242,0.5,0.0
0.4192,0.5,0.0
0.4141,0.5,0.0
0.4091,0.5,0.0
0.404,0.5,0.0
0.399,0.5,0.0
0.3939,0.5,0.0
0.3889,0.5,0.0
0.3838,0.5,0.0
0.3788,0.5,0.0
0.3737,0.5,0.0
0.3687,0.5,0.0
0.3636,0.5,0.0
0.3586,0.5,0.0
0.3535,0.5,0.0
0.3485,0.5,0.0
0.3434,0.5,0.0
0.3384,0.5,0.0
0.3333,0.5,0.0
0.3283,0.5,0.0
0.3232,0.5,0.0
0.3182,0.5,0.0
0.3131,0.5,0.0
0.3081,0.5,0.0
0.303,0.5,0.0
0.298,0.5,-2.3e-05
0.2929,0.5,-0.000278
0.2879,0.5,-0.000816
0.2828,0.5,-0.001638
0.2778,0.5,-0.002743
0.2727,0.5,-0.004132
0.2677,0.5,-0.005804
0.2626,0.5,-0.00776
0.2576,0.5,-0.009999
0.2525,0.5,-0.012521
0.2475,0.5,-0.015327
0.2424,0.5,-0.018416
0.2374,0.5,-0.021789
0.2323,0.5,-0.025445
0.2273,0.5,-0.029385
0.2222,0.5,-0.033608
0.2172,0.5,-0.038114
0.2121,0.5,-0.042904
0.2071,0.5,-0.047977
0.202,0.5,-0.053334
0.197,0.5,-0.058974
0.1919,0.5,-0.064897
0.1869,0.5,-0.071104
0.1818,0.5,-0.077594
0.1768,0.5,-0.084368
0.1717,0.5,-0.091425
0.1667,0.5,-0.098765
0.1616,0.5,-0.106389
0.1566,0.5,-0.114297
0.1515,0.5,-0.122488
0.1465,0.5,-0.130962
0.1414,0.5,-0.139719
0.1364,0.5,-0.14876
0.1313,0.5,-0.158085
0.1263,0.5,-0.167693
0.1212,0.5,-0.177584
0.1162,0.5,-0.187759
0.1111,0.5,-0.198217
0.1061,0.5,-0.208958
0.101,0.5,-0.219983
0.096,0.5,-0.231292
0.0909,0.5,-0.242883
0.0859,0.5,-0.254759
0.0808,0.5,-0.266917
0.0758,0.5,-0.279359
0.0707,0.5,-0.292085
0.0657,0.5,-0.305094
0.0606,0.5,-0.318386
0.0556,0.5,-0.331962
0.0505,0.5,-0.345821
0.0455,0.5,-0.359963
0.0404,0.5,-0.374389
0.0354,0.5,-0.389099
0.0303,0.5,-0.404091
0.0253,0.5,-0.419367
0.0202,0.5,-0.434927
0.0152,0.5,-0.45077
0.0101,0.5,-0.466897
0.0051,0.5,-0.483307
0.0,0.5,-0.5
